user,text,date,emotion,sentiment
@Nataliagrs66,"El amor con la persona correcta no se siente como una emoción desbordante que vacila, sino como una sensación de paz y libertad de ser tú misma en compañía del otro.","Jan 4, 2024 · 11:04 PM UTC",overwhelmed,scared
@polgrande_,#LPAxFCB   se hablaba de que Lamine no estaba igual de desbordante y valiente en los últimos partidos y por eso Raphinha robó el puesto. pero claramente para estos minutos finales donde te vienes arriba y el partido está a tu favor Lamine Yamal es DECISIVO.  ha hecho el 1-2.,"Jan 4, 2024 · 10:37 PM UTC",overwhelmed,scared
@QueenSieg,"ㅤ── No entiendo lo que dices, pero debes detenerte. No existe ninguna gemela mía.   De a poco, aquella desbordante energía que cubrió su silueta de oscuridad comienza a desaparecer.","Jan 4, 2024 · 2:26 PM UTC",overwhelmed,scared
@pedroacostag,La manera en la que es altamente probable que cuando llegue a Pto me encuentre el apartamento inundado,"Jan 6, 2024 · 12:29 AM UTC",overwhelmed,scared
@Azriel_84,"Bueno, hoy he inundado mi ciudad y buggeado el Spiderman.  Trabajo bien hecho","Jan 5, 2024 · 11:12 PM UTC",overwhelmed,scared
@arrobalacamm_,deje todo el patio inundado y la alfombra impoluta de mugre ajajajaj q malaria,"Jan 5, 2024 · 9:16 PM UTC",overwhelmed,scared
@cosmi4revolu,Si no hubiera pasado lo que pasó en Guatemala mi tuiter estaría inundado de puro amortz del amor inmenso que tengo por un hermoso ser 🥰,"Jan 5, 2024 · 7:58 PM UTC",overwhelmed,scared
@SibiDiminguiz,El CONICET tendria q haber inundado el pais con repelentes,"Jan 5, 2024 · 5:14 PM UTC",overwhelmed,scared
@MafeCas95098087,Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y te recibe un Basurero ❌en el Muelle.. muy mala impresion para el Turista. @FranciaMarquezM @DilianFrancisca @LaFMCali @elpaiscali @MabelLaraNews @ELTIEMPO @sergio_fajardo @MinAmbienteCo @ParquesColombia,"Jan 5, 2024 · 3:00 PM UTC",overwhelmed,scared
@MafeCas95098087,Juanchaco en Buenaventura Inundado de Basura.. temporada de turismo . Y ye recibe un Basurero ❌en el Muelle.. muy mala impresion para el Turista. @CaracolRadio @GobValle @EnterateCali @Noti90Minutos @MabelLaraNews @ClaraLuzRoldan @BLUPacifico @HotelMaguipi @petrogustavo,"Jan 5, 2024 · 2:57 PM UTC",overwhelmed,scared
@mar_inundado,El año no puede empezar peor :),"Jan 5, 2024 · 2:06 PM UTC",overwhelmed,scared
@LJRC___,36 de diciembre y amanecimos con el apartamento inundado jajajajaja,"Jan 5, 2024 · 1:20 PM UTC",overwhelmed,scared
@BrisaGonzalez69,El patio re inundado quedó 🤦,"Jan 5, 2024 · 12:48 PM UTC",overwhelmed,scared
@danleviniel,"Te amo mucho Kim Daniel, si no hubieras aparecido hoy habría colapsado","Jan 6, 2024 · 2:53 AM UTC",overwhelmed,scared
@iaminfinance,"Situación: Sala de espera de sanatorio cardiovascular.   Familia esperando a hija en operación por ACV.   Tres horas de operación.   Sin obra social, esta chica estaría muerta.   El sistema público está colapsado.   Donde va a parar la gente que no pueda pagar la OS?   Triste.","Jan 6, 2024 · 1:56 AM UTC",overwhelmed,scared
@Dream_And_Laugh,"3 días sin luz en el HGSJDD, un compañero de EPS secuestrado Y NADIE ESTÁ HABLANDO DE ESO más que el personal de salud, el sistema de salud en Guatemala está colapsado, ojalá el @MPguatemala, la @PDHgt y a @DrGiammattei les interesara al menos un poco la situación :)))","Jan 6, 2024 · 1:16 AM UTC",overwhelmed,scared
@StefanoUG,Bocagrande colapsado! Tráfico imposible!,"Jan 6, 2024 · 12:53 AM UTC",overwhelmed,scared
@Alexand19354770,Colapsado y aburrido de la vida...,"Jan 5, 2024 · 11:50 PM UTC",overwhelmed,scared
@victordan2010,"Felicito ampliamente al imbécil de @LuisBNava por cerrar una arteria crítica de la ciudad Corregidora está colapsado el centro. ¡Gracias, …ndejo!","Jan 5, 2024 · 11:45 PM UTC",overwhelmed,scared
@AgustinnCarrizo,Ya estoy colapsado de aguantar cosas.,"Jan 5, 2024 · 10:08 PM UTC",overwhelmed,scared
@mlduartee,Terminando primer semana de enero y para variar los #chorrossv colapsado desde la Monseñor.,"Jan 5, 2024 · 9:52 PM UTC",overwhelmed,scared
@LaliftVillal,"Lo caída que está la página del Movistar que intento entrar a “Mis Compras” para ver la entrada y NO CARGA. No desesperare, se que esta colapsado","Jan 5, 2024 · 9:10 PM UTC",overwhelmed,scared
@bpsilva,Voy con mi hija en vuelo @LATAM_CHI de Antof-Stgo con maleta de cabina y vuelo internacional. Me OBLIGARON a enviar maleta por bodega contra mi voluntad. El aeropuerto internacional está colapsado. Qué pasa si tardo tiempo retirando la maleta y retrasa trámite intern.?!! 😤😤,"Jan 5, 2024 · 8:52 PM UTC",overwhelmed,scared
@marceccg,"Y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones: hambre o sueño. Hoy resultó ser la segunda y ya, hijo dormido a las 8 p. m.  🥳","Jan 6, 2024 · 2:18 AM UTC",overwhelmed,scared
@_VicMartino,NADA se va a solucionar sin una ley anti fake news. El manejo de la información está absolutamente desbordado.,"Jan 5, 2024 · 9:22 PM UTC",overwhelmed,scared
@GinoMonty,"Yo lo que veo en este presidente es un ego desbordado, un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais.","Jan 5, 2024 · 9:13 PM UTC",overwhelmed,scared
@Elfabripa2,estoy desbordado,"Jan 5, 2024 · 8:33 PM UTC",overwhelmed,scared
@thomymz,Dios estoy desbordado,"Jan 5, 2024 · 8:27 PM UTC",overwhelmed,scared
@JoniToujan10,Desbordado de felicidad y de ansiedad🥹🫶🏽,"Jan 5, 2024 · 8:24 PM UTC",overwhelmed,scared
@brachn,"Termino de lavar la loza,tomo un vaso de agua y ya esta desbordado de platos y ollas sucias","Jan 5, 2024 · 7:25 PM UTC",overwhelmed,scared
@hpititiminisky,Las consecuencias de lo que se viene haciendo desde 2002 hasta ahora:  Default Sin justicia Hiperinflacion Infraestructura destruida Endeudamiento Gasto publico desbordado Carga tributaria confiscatoria Regulaciones que violan la constitucion,"Jan 5, 2024 · 6:41 PM UTC",overwhelmed,scared
@CryptoB57982,"""Simplemente obstruí un poco mi inodoro y comenzó desbordado y tuve un ataque de pánico así que usé el émbolo que fue tan jodidamente tonto porque luego comenzó a desbordarse aún más y luego comencé temblando y fue a poner toallas alrededor del fondo de el baño lo cual me hace-","Jan 5, 2024 · 6:36 PM UTC",overwhelmed,scared
@rufianmelancoli,Pones jazz quesque para relajarte y todo es un sonidero desbordado para todos lados.  Ya mejor le cambio a canciones de Celine Dion.,"Jan 5, 2024 · 6:31 PM UTC",overwhelmed,scared
@teboboso,"Mañana viajo muy lejos solo por primera vez, estoy demasiado nervioso preocupado, todo","Jan 6, 2024 · 3:47 AM UTC",overwhelmed,scared
@daffilias,"No quiero tener animales, estaría preocupado y con ansiedad siempre cuando salga d casa aunq sean 2 horas","Jan 6, 2024 · 3:38 AM UTC",overwhelmed,scared
@ghitis,"En Colombia, entre enero y septiembre del 2023, hubo 276 homicidios cometidos por menores de edad, 23 fueron por reincidentes.  Además hubo 1.065 menores de edad capturados por hurto. El presidente no se ve muy preocupado por los menores de edad en Colombia.","Jan 6, 2024 · 3:34 AM UTC",overwhelmed,scared
@nktcmbm,"nunca se habían preocupado tanto por mí, ni me habían tratado tan bien como ahora 💚🥺","Jan 6, 2024 · 3:34 AM UTC",overwhelmed,scared
@Andrurg00,Jamás había visto a mi papá tan preocupado y enojado por algo mío 😭💔,"Jan 6, 2024 · 3:32 AM UTC",overwhelmed,scared
@Migue_CD,Cartagena y su gobierno local están preocupado por la baja del turismo y de ocupacion hotelera.  que esperas que pase si estafan al que medio habla diferente.   Mandan huevo.,"Jan 6, 2024 · 3:31 AM UTC",overwhelmed,scared
@bh_porcelli,To preocupado,"Jan 6, 2024 · 3:30 AM UTC",overwhelmed,scared
@x_daayy,"ay, ya me había preocupado","Jan 6, 2024 · 3:22 AM UTC",overwhelmed,scared
@goolf208,"Hoy murió Carlos Bremer empresario Mexicano exitoso y visionario, siendo un ejemplo de lo que debe ser y  hacer un empresario, preocupado y apoyando a su personal y emprendiendo más negocios en conjunto con dueños de MiPYMES. México necesita empresarios cómo él y no explotadores.","Jan 6, 2024 · 3:21 AM UTC",overwhelmed,scared
@arelafong,yo no puedo creer que mi papá me llame trompudo a preguntarme que yo porque no tengo novio😭😭😭😭😭😭 que se siente muy preocupado jaksjajakjsja,"Jan 6, 2024 · 3:17 AM UTC",overwhelmed,scared
@FerchRT,"Me he dado cuenta que estos últimos años, mi cumpleaños dejo de ser una fecha que me emocionara, creo que tanta expectativa o esperar mucho ha hecho que se haya perdido esa magia y siento que con otras fechas me está pasando lo mismo 😔","Jan 6, 2024 · 4:00 AM UTC",overwhelmed,scared
@kaluatech,"Había un perro, pastor alemán. Llorando afuera en la calle, me imagino que dsta perdido, pero baje a ver si podía ayudarlo y cuando abrir la puerta, se fue asustado 😨","Jan 6, 2024 · 3:58 AM UTC",overwhelmed,scared
@CintiaVisintini,hola perdido soy yo  el ex amor de tu vida,"Jan 6, 2024 · 3:58 AM UTC",overwhelmed,scared
@May_OnlyOne,"Qué chistosa es Lizli, dice que no puede cometer errores cómo si por eso hubiera perdido.","Jan 6, 2024 · 3:57 AM UTC",overwhelmed,scared
@soyalexhe,"Si lloras por haber perdido el sol, las lágrimas no te dejarán ver las estrellas ✨","Jan 6, 2024 · 3:56 AM UTC",overwhelmed,scared
@user122201,"La imagen de la última vez que lo vi/interactúe con él, la aborrezco porque me hizo ver todo lo que en mucho tiempo no quise ver, tiempo tal vez no perdido pero si mal invertido","Jan 6, 2024 · 3:56 AM UTC",overwhelmed,scared
@aagusmoreeira,"vuelvan a mandarme tweets porfavor, no les contestaba porque había perdido esta cuenta","Jan 6, 2024 · 3:56 AM UTC",overwhelmed,scared
@moreexzt,algo habré perdido que ando tan comprometido en buscar adentro tuyo algo que está adentro mioo,"Jan 6, 2024 · 3:55 AM UTC",overwhelmed,scared
@cafe_pati,"Haciendo un pequeño balance de mi vida me di cuenta que he perdido gente que no me amaba, pero también me di cuenta que ellos perdieron a alguien que los amaba leal y desinteresadamente.  Y uno aprende, y no deja de aprender.           Un día a la vez.","Jan 6, 2024 · 3:54 AM UTC",overwhelmed,scared
@FerrerGalvan,"El ataque con drones y la masacre en la comunidad de Buenavista en Heliodoro Castillo, Guerrero, constatan que el gobierno estatal ha perdido o cedido el control de territorios enteros, abandonando a la población a merced del terror del crimen organizado","Jan 6, 2024 · 3:52 AM UTC",overwhelmed,scared
@sinn9r,"cuando pensé haber superado el trauma bastó que mencionaran su nombre, incluso si no hablaban de él, para quedarme completamente paralizado e incapacitado el resto del día.","Jan 6, 2024 · 1:24 AM UTC",overwhelmed,scared
@JOmron1961288,"... que Los Reyes Magos, traigan ""lo mejor"", para todos,  para el país y para el mundo.... Nunca ni el país ni el mundo estuvieron en manos de tanto ""inepto incapacitado""... que puede provocar su desintegración. ¡Felices Reyes!, a los creyentes claro...","Jan 5, 2024 · 8:46 PM UTC",overwhelmed,scared
@DeadBoy0x0,Ahora que haré esos 2 meses incapacitado :))),"Jan 5, 2024 · 7:10 PM UTC",overwhelmed,scared
@poch88,Aquí ponen al pelotero como un incapacitado mental o un animal en celo que no puede tener control de sí mismo,"Jan 5, 2024 · 2:17 PM UTC",overwhelmed,scared
@PsyMF6SwHCzfHRw,PETRO está incapacitado para gobernar mi país ! En derecho debe ser removido o renunciar,"Jan 4, 2024 · 9:50 PM UTC",overwhelmed,scared
@John_Grandett,Menos mal estoy incapacitado hasta el lunes porque sin duda así no podría trabajar y ya hubiera mandado a comer vg al que sea que me molestara,"Jan 4, 2024 · 9:14 PM UTC",overwhelmed,scared
@ArturoBoscanG,1 antialérgico en la noche y quedó (sigo) incapacitado,"Jan 4, 2024 · 6:38 PM UTC",overwhelmed,scared
@ecaldii,Solo de imaginar el caos que habría en el trabajo si sí estuviera full incapacitado me sube un poquito el amor propio,"Jan 4, 2024 · 6:27 PM UTC",overwhelmed,scared
@GuyFromTheStars,"Pensé que este año sólo había llorado en Madrid y que la primera vez que me había incapacitado para hacer vida fue en octubre pero no, acabo de recordar aquel día de mayo que me sentía mal y decidí no ir a prácticas (y ""teletrabajar"") en el que acabé sentado en la cama llorando","Jan 4, 2024 · 6:10 PM UTC",overwhelmed,scared
@Lada9103,"Es increible que esten culpando a Duque cuando existe una prorroga y un acuerdo que conocian hace mas de un año con laa fechas de pago, el Petrismo si es que tiene mucho incapacitado mental.","Jan 4, 2024 · 1:36 PM UTC",overwhelmed,scared
@andyboy_s,"Odio estos bloqueos mentales, me siento saturado.","Jan 6, 2024 · 3:33 AM UTC",overwhelmed,scared
@tiziquattrini,lo saturado de cosas q está mi vision board x dios,"Jan 6, 2024 · 2:40 AM UTC",overwhelmed,scared
@Exbigote_,preguntenle de futbol al dt por favor no quiero saber de nada mas estoy saturado,"Jan 6, 2024 · 12:04 AM UTC",overwhelmed,scared
@ManzanaDori,"Que no os engañen queridos.....""Saturado"" ahora significa VACÍO","Jan 5, 2024 · 11:40 PM UTC",overwhelmed,scared
@SilveradoSimon,saturado por mentiras que parecen verdades? Para qué criticar un libro que es un inmenso océano de sofisterías y artimañas retóricas salpicado con unos pocos y pequeños islotes en donde asoma un gramo de verdad? Boroni sobre VargaLlosa. Aplica para cualquier politico.,"Jan 5, 2024 · 11:25 PM UTC",overwhelmed,scared
@ENRG9811,No puedo creer que yo alguna vez dije que deberían dejar de impulsar tantas marcas resort wear y Caribbean chic en Colombia porque el mercado estaba saturado de eso y aquí estoy sufriendo porque no encuentro un hpta set de playa que me guste.,"Jan 5, 2024 · 11:03 PM UTC",overwhelmed,scared
@SolooMartin,"Ver como llevan con mucha ilusión los juguetes para sus hijes ha sido mi dosis de serotonina estos días, alch que bonito! hasta olvido lo saturado que va el metro.","Jan 5, 2024 · 10:59 PM UTC",overwhelmed,scared
@_agusscuevas01,que saturado q estoy,"Jan 5, 2024 · 10:44 PM UTC",overwhelmed,scared
@Cynthiaerr,"Jajaja wey, le mandé un mensaje a la presidenta que su equipo no estaba bateando. Pendejamente no le puse que dirección y tengo el whatsapp saturado de mensajes de todos los directores 🤡","Jan 5, 2024 · 10:41 PM UTC",overwhelmed,scared
@xRojaDiscordia,"Hemos vuelto a ir al hospital porque el cólico de riñón no mejora después de 5 días. Se han negado a hacerme una ecografía porque tenían el hospital saturado de COVID y gripe A, que si quería me hacían otra analítica. Sigo sin saber si aun tengo la piedra y es lo que me mata.","Jan 5, 2024 · 10:10 PM UTC",overwhelmed,scared
@shalifernandez,Qué onda su viernes? Yo acá muerta del susto intentando hace dos horas sacar un pájaro que quedó atrapado atrás de mi televisor,"Jan 6, 2024 · 3:53 AM UTC",overwhelmed,scared
@Parsif4l,Vivir atrapado en el 2014.,"Jan 6, 2024 · 3:48 AM UTC",overwhelmed,scared
@LaloJimenezC,Estoy realmente atrapado...,"Jan 6, 2024 · 3:46 AM UTC",overwhelmed,scared
@elfilosofonegr1,Que horrible sensación el estar atrapado en un laberinto con tantas variables que simplemente te asfixias con tu propia respiración,"Jan 6, 2024 · 3:35 AM UTC",overwhelmed,scared
@sstarrbaee,soy un concepto atrapado en un cuerpo humano,"Jan 6, 2024 · 3:32 AM UTC",overwhelmed,scared
@enrii17_,Atrapado en un conteo regresivo que nunca llega a su final.,"Jan 6, 2024 · 3:23 AM UTC",overwhelmed,scared
@juanjo_AL22,"mis ojos en lo alto de la escala de Mohs, y dentro de los suyos atrapado todo el cosmos...","Jan 6, 2024 · 2:48 AM UTC",overwhelmed,scared
@DavidFranciskno,"Hay una mujer en el gym que me mira intensamente, de seguro es un gay atrapado en el cuerpo de una mujer heterosexual, porque no hay otra explicacion a esa miradera sexosa.","Jan 6, 2024 · 2:25 AM UTC",overwhelmed,scared
@Gensrra,Voy a hacer un hilo de mis lecturas para el Guadalupe Reinas. Leí 10 libros en 25 días.,"Jan 6, 2024 · 2:16 AM UTC",overwhelmed,scared
@charliezard691,De que es el desfile en la via España ? Xuxa justo parquie el carro ahí y ahora estoy atrapado,"Jan 6, 2024 · 1:51 AM UTC",overwhelmed,scared
@slowlore6,"Por cierto, tener que envolver un banco de musculación es una pésima experiencia, me quedé sin papel y tuve que mezclar dos.","Jan 6, 2024 · 2:57 AM UTC",overwhelmed,scared
@AgusGrana14,"Estaba un poco agobiado y deprimido asi que me escuche un speech motivacional que dio resultado y fui motivado al gimnasio, volvi y sigo agobiado y un poco deprimido pero ahora tambien estoy cansado 😎","Jan 6, 2024 · 2:56 AM UTC",overwhelmed,scared
@slowlore6,Llevo dos horas empaquetando regalos,"Jan 6, 2024 · 2:36 AM UTC",overwhelmed,scared
@slowlore6,"Solo tengo un número de la lotería a tercios con Laura y Julia, rezando porque nos toque pa hacernos muy ricas","Jan 5, 2024 · 10:58 PM UTC",overwhelmed,scared
@gavinci7,"Hoy mi suegro de 88 años dijo: ""Hoy me siento muy bien, tengo ganas de ponerme mi corbata"". Se puso guapo y lo llevaron a pasear. Tiene una semana tomando GNMX de ACTIVZ. Tenía años sin usar corbata y pocas ganas de salir, porque cuando llegaba, llegaba agobiado y muy cansado.","Jan 5, 2024 · 9:42 PM UTC",overwhelmed,scared
@_blutsxchtig,"Se refiere a Phel, casi se muere él. Hoy. Y luego Tari casi se muere el otro día. Y está preocupado y agobiado por todo. Y no puede pensar en otra cosa.","Jan 5, 2024 · 9:11 PM UTC",overwhelmed,scared
@ivanzoo_2,Agobiado por problemas que los adultos mortifican…,"Jan 5, 2024 · 8:54 PM UTC",overwhelmed,scared
@DanielSugimura,"Con tanta cena y evento social estoy hoy saturadísimo mentalmente, literalmente tengo ganas de llorar de lo agobiado que me siento.","Jan 5, 2024 · 8:52 PM UTC",overwhelmed,scared
@VentanasHater,"""Habrá que aprovechar lo que queda de vacaciones"" *Se mete en la cama cansado, agobiado y deprimido a las 21*","Jan 5, 2024 · 7:50 PM UTC",overwhelmed,scared
@luciaaheerrera,"45 minutos llevan juanjo y martin en las duchas, eso es que J está muy agobiado pobre, que pena me da #OTDirecto5E","Jan 5, 2024 · 7:16 PM UTC",overwhelmed,scared
@libroscatolic,"«Cuanto por mí más abatido, tanto para mí más amado, dice san Bernardo».","Jan 6, 2024 · 3:15 AM UTC",overwhelmed,scared
@joselinconjota,Crecer es una constante despedida y bienvenida.,"Jan 6, 2024 · 2:35 AM UTC",overwhelmed,scared
@joselinconjota,Creo que me tendré que beber la jarra sola xd,"Jan 6, 2024 · 2:00 AM UTC",overwhelmed,scared
@Jaime_Tom,Óyeme pero será que vinieron los marcianos de Space Jam y le robaron el talento a Seryi? Abatido,"Jan 6, 2024 · 1:49 AM UTC",overwhelmed,scared
@__JuanCaa,Locura es vivir abatido y caminar medio dormido,"Jan 6, 2024 · 1:47 AM UTC",overwhelmed,scared
@joselinconjota,Creo que pediré pan xd,"Jan 6, 2024 · 1:34 AM UTC",overwhelmed,scared
@joselinconjota,Ya me dio hambre xd ptmre,"Jan 6, 2024 · 1:31 AM UTC",overwhelmed,scared
@Da61858Davalos,"Por muy abatido que te sientas, orar siempre traerá tranquilidad a tu corazón.","Jan 6, 2024 · 1:02 AM UTC",overwhelmed,scared
@joselinconjota,Quiero renunciar solo para tener mi liquidación xd quiero irme de viaje amigos,"Jan 6, 2024 · 12:59 AM UTC",overwhelmed,scared
@joselinconjota,"Te llamé para decirte que te quiero, todavía.","Jan 6, 2024 · 12:57 AM UTC",overwhelmed,scared
